CFI Performance Measurement Results
Duration: 10 seconds
Callback frequency: 100 Hz
Total callbacks: 99

Latency Statistics (microseconds):
Mean,7.78925
P50,7.705
P95,10.89
P99,34.425
Min,3.156
Max,34.425

CPU Overhead: 99.9995%
Memory Overhead: 896 KB

Raw latency data (first 1000 samples in nanoseconds):
34425
7584
7594
7554
7594
7584
7544
7655
7654
7575
7304
7614
7744
7705
7604
7735
7705
7815
7745
7865
9177
8075
7655
7734
8496
7845
9067
8747
5189
3807
3457
3206
3156
4839
5591
5891
6282
5200
5260
5090
5370
5801
5600
5220
5200
5079
5441
5100
5210
5631
5290
11762
6442
11191
7875
7574
10039
7685
7775
8726
8587
8266
8777
7755
7745
7784
6833
6032
9879
9738
9699
9498
10139
9408
8716
8997
9478
8145
6172
7354
10199
7855
9067
9738
7003
7244
5690
6572
7555
5641
8837
7855
10009
12784
7865
10890
9969
8296
8006
7474
